Name,M1,M1_atom_number,M2,M2_atom_number,M3,M3_atom_number,Support ,Support_ID,M2_mol,M3_mol,M1_mol%,M2_mol%,M3_mol%,Temp,Total_flow,Ar_flow,CH4_flow,O2_flow,CT,CH4/O2,CH4_conv,C2y,C2H6y,C2H4y,COy,CO2y,C2s,C2H6s,C2H4s,COs,CO2s
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,2.3,8.5,4.3,0.50,2,32.31,5.22,0.64,4.58,24.84,8.61,16.16,1.98,14.18,76.88,26.65
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,3.0,11.3,5.7,0.38,2,34.09,5.62,0.61,5.01,24.54,7.98,16.49,1.79,14.70,71.99,23.41
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,1.5,6.4,2.1,0.75,3,20.05,4.87,0.51,4.36,17.44,5.24,24.29,2.54,21.75,86.98,26.13
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,2.3,9.6,3.2,0.50,3,21.31,5.46,0.50,4.96,17.69,4.78,25.62,2.35,23.28,83.01,22.43
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,3.0,12.8,4.3,0.38,3,21.89,5.91,0.58,5.33,17.78,4.32,27.00,2.65,24.35,81.22,19.74
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,1.5,6.8,1.7,0.75,4,18.06,4.70,0.45,4.25,13.68,3.43,26.02,2.49,23.53,75.75,18.99
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,2.3,10.2,2.6,0.50,4,16.29,5.38,0.46,4.92,13.64,2.96,33.03,2.82,30.20,83.73,18.17
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,3.0,13.6,3.4,0.38,4,16.97,5.74,0.52,5.22,13.57,2.74,33.82,3.06,30.76,79.96,16.15
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,1.5,7.3,1.2,0.75,6,11.60,4.45,0.40,4.05,9.61,2.05,38.36,3.45,34.91,82.84,17.67
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,2.3,10.9,1.8,0.50,6,9.73,5.03,0.47,4.56,9.68,1.75,51.70,4.83,46.87,99.49,17.99
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,3.0,14.6,2.4,0.38,6,12.48,5.21,0.42,4.79,9.28,1.53,41.75,3.37,38.38,74.36,12.26
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,4.0,4.0,2.0,0.75,2,34.80,4.27,0.52,3.75,25.19,8.70,12.27,1.49,10.78,72.39,25.00
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,6.0,6.0,3.0,0.50,2,34.18,4.91,0.63,4.28,25.88,7.90,14.37,1.84,12.52,75.72,23.11
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,8.0,8.0,4.0,0.38,2,35.10,5.28,0.61,4.67,25.28,7.26,15.04,1.74,13.30,72.02,20.68
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,4.0,4.5,1.5,0.75,3,23.87,4.51,0.45,4.06,18.00,4.77,18.89,1.89,17.01,75.41,19.98
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,6.0,6.8,2.3,0.50,3,24.29,5.01,0.48,4.53,17.51,4.00,20.63,1.98,18.65,72.09,16.47
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,8.0,9.0,3.0,0.38,3,24.10,5.45,0.51,4.94,18.05,3.84,22.61,2.12,20.50,74.90,15.93
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,4.0,4.8,1.2,0.75,4,18.50,4.49,0.41,4.08,14.20,3.19,24.27,2.22,22.05,76.76,17.24
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,6.0,7.2,1.8,0.50,4,17.15,4.97,0.44,4.53,13.97,2.74,28.98,2.57,26.41,81.46,15.98
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,8.0,9.6,2.4,0.38,4,18.09,5.38,0.49,4.89,13.79,2.54,29.74,2.71,27.03,76.23,14.04
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,4.0,5.1,0.9,0.75,6,11.05,4.16,0.36,3.80,9.40,1.88,37.65,3.26,34.39,85.07,17.01
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,6.0,7.7,1.3,0.50,6,12.43,4.62,0.42,4.20,9.25,1.62,37.17,3.38,33.79,74.42,13.03
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,8.0,10.3,1.7,0.38,6,13.12,4.88,0.41,4.47,9.28,1.51,37.20,3.13,34.07,70.73,11.51
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,7.0,2.0,1.0,0.75,2,39.91,3.86,0.55,3.31,25.47,7.36,9.67,1.38,8.29,63.82,18.44
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,10.5,3.0,1.5,0.50,2,41.93,4.09,0.37,3.72,25.32,6.54,9.75,0.88,8.87,60.39,15.60
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,14.0,4.0,2.0,0.38,2,40.32,4.77,0.59,4.18,25.70,6.38,11.83,1.46,10.37,63.74,15.82
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,7.0,2.3,0.8,0.75,3,29.38,4.09,0.54,3.55,19.35,4.66,13.92,1.84,12.08,65.86,15.86
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,10.5,3.4,1.1,0.50,3,30.12,4.59,0.56,4.03,17.42,3.84,15.24,1.86,13.38,57.84,12.75
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,14.0,4.5,1.5,0.38,3,30.04,4.97,0.53,4.44,17.87,3.65,16.54,1.76,14.78,59.49,12.15
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,7.0,2.4,0.6,0.75,4,21.66,4.18,0.47,3.71,14.64,3.26,19.30,2.17,17.13,67.59,15.05
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,10.5,3.6,0.9,0.50,4,21.37,4.51,0.50,4.01,13.62,2.83,21.10,2.34,18.76,63.73,13.24
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,14.0,4.8,1.2,0.38,4,23.95,4.96,0.48,4.48,13.24,2.61,20.71,2.00,18.71,55.28,10.90
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,10,7.0,2.6,0.4,0.75,6,16.38,3.99,0.39,3.60,9.57,2.04,24.36,2.38,21.98,58.42,12.45
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,15,10.5,3.9,0.6,0.50,6,16.01,4.18,0.35,3.83,8.95,1.83,26.11,2.19,23.92,55.90,11.43
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,900,20,14.0,5.1,0.9,0.38,6,15.67,4.68,0.45,4.23,8.47,1.78,29.87,2.87,26.99,54.05,11.36
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,10,1.5,5.7,2.8,0.75,2,33.93,5.65,0.60,5.05,22.26,7.29,16.65,1.77,14.88,65.61,21.49
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,15,2.3,8.5,4.3,0.50,2,31.05,6.61,0.75,5.86,24.10,7.32,21.29,2.42,18.87,77.62,23.57
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,20,3.0,11.3,5.7,0.38,2,33.75,6.88,0.82,6.06,23.74,6.89,20.39,2.43,17.96,70.34,20.41
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,10,1.5,6.4,2.1,0.75,3,22.22,6.01,0.61,5.40,16.64,3.99,27.05,2.75,24.30,74.89,17.96
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,15,2.3,9.6,3.2,0.50,3,20.44,6.89,0.74,6.15,16.88,3.86,33.71,3.62,30.09,82.58,18.88
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,20,3.0,12.8,4.3,0.38,3,23.14,7.02,0.76,6.26,16.52,3.59,30.34,3.28,27.05,71.39,15.51
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,10,1.5,6.8,1.7,0.75,4,18.20,5.76,0.58,5.18,12.49,2.57,31.65,3.19,28.46,68.63,14.12
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,15,2.3,10.2,2.6,0.50,4,16.15,6.58,0.69,5.89,12.71,2.47,40.74,4.27,36.47,78.70,15.29
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,20,3.0,13.6,3.4,0.38,4,16.57,6.89,0.76,6.13,12.69,2.36,41.58,4.59,36.99,76.58,14.24
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,10,1.5,7.3,1.2,0.75,6,11.29,5.47,0.59,4.88,8.85,1.57,48.45,5.23,43.22,78.39,13.91
Mn-Na2WO4/MgO,Mn,25,Na,11,W,74,MgO,6,0.370,0.185,40,40,20,850,15,2.3,10.9,1.8,0.50,6,9.40,6.03,0.67,5.36,8.65,1.45,64.15,7.13,57.02,92.02,15.43
